,datetime,solar_power,building_load,BESS_output
155,20220601-144500,76.12206212010055,54.10963097225698,0.0
156,20220601-150000,73.32651629195531,54.78243807278212,0.0
157,20220601-151500,70.3740873774944,52.59107129329978,0.0
158,20220601-153000,67.05706740625278,51.179265098579414,0.0
159,20220601-154500,63.12759753491601,53.85350614510639,0.0
160,20220601-160000,58.795776534585194,51.380497794955154,0.2556053811659193
161,20220601-161500,54.73545599773903,53.74762753050619,0.0
162,20220601-163000,50.58756500972098,51.516986858962056,0.0
163,20220601-164500,45.935944744417036,51.216100271401345,0.0
164,20220601-170000,40.75588487451901,49.59330966967562,0.0
165,20220601-171500,35.01322031083612,54.32855013729097,0.0
166,20220601-173000,29.303138430301676,53.6400674539553,0.5169475162454303
167,20220601-174500,23.606811318585862,52.02907233483727,3.422261016250834
168,20220601-180000,17.87317373135955,49.06000793795506,6.186834206594936
169,20220601-181500,12.30597460025028,53.05495716547485,15.748982565224015
170,20220601-183000,7.913395155030168,47.691866522826814,14.77847136779608
171,20220601-184500,4.892057745295301,38.878257837091724,8.986200091795851
172,20220601-190000,2.928680570478747,37.258422970279646,9.329742399800326
173,20220601-191500,1.6986130099150838,37.014352430793295,10.315739420877645
174,20220601-193000,0.5992976392275785,34.11162717396861,8.512329534740463
175,20220601-194500,-0.041990772694630876,36.331586976666664,11.373577749360729
176,20220601-200000,-0.001457367322147651,34.625942737729304,9.627400105050887
177,20220601-201500,-0.0006529855885650224,34.82159806609865,9.822251051686651
178,20220601-203000,-0.0011936305403587443,34.167659587163676,9.168853217703466
179,20220601-204500,-0.0001403254994400896,33.71730247846585,8.72148229757054
180,20220601-210000,-0.0007321506426966292,33.705141694516854,8.705873845158981
181,20220601-211500,-0.0028422001524663677,32.75292904144619,7.755771241598087
182,20220601-213000,-0.0066383866685267865,32.79854918963169,7.805187576299654
183,20220601-214500,-0.005744258298992161,31.594784491567747,6.600528749866173
184,20220601-220000,-0.0018767102022346368,33.40756071939665,8.409437429598315
185,20220601-221500,-0.00069813778387458,32.057719040828665,7.058417178611974
186,20220601-223000,-0.0005003690749440716,33.14978579979866,8.150286168873032
187,20220601-224500,-0.0009540336174496644,32.6599000210179,7.660854054634778
188,20220601-230000,-0.002003016911235955,33.0391534521573,8.04115646906797
189,20220601-231500,-0.0024510475297418633,31.00923880882155,6.011689856350723
190,20220601-233000,-0.0017336167173184359,31.95657850439106,6.958312121107811
191,20220601-234500,-0.0010658580078299776,31.508436617740493,6.509502475747754
